Node_i ,Node_j ,"A[i,j]" ,"A[j,i]" ,Diff                   ,Direction
     5 ,    39 ,  0.2438 ,  0.1206 ,0.12319999999999999    ,5->39
    11 ,    14 ,  0.7223 ,  0.8452 ,0.1228999999999999     ,14->11
     7 ,    23 ,  0.0342 ,  0.1567 ,0.1225                 ,23->7
    17 ,    46 ,  0.1424 ,  0.0213 ,0.1211                 ,17->46
     6 ,    12 ,  0.5351 ,  0.6557 ,0.12059999999999993    ,12->6
     1 ,     4 ,  0.3613 ,  0.2419 ,0.1194                 ,1->4
    10 ,    41 ,  0.0425 ,  0.1603 ,0.11779999999999999    ,41->10
    13 ,    24 ,  0.0223 ,  0.1386 ,0.1163                 ,24->13
    13 ,    19 ,  0.0499 ,  0.1653 ,0.1154                 ,19->13
    14 ,    49 ,  0.1022 ,  0.217  ,0.1148                 ,49->14
    26 ,    32 ,  0.0623 ,  0.1761 ,0.11380000000000001    ,32->26
    11 ,    25 ,  0.1094 ,  0.2221 ,0.1127                 ,25->11
     9 ,    12 ,  0.4246 ,  0.5362 ,0.11160000000000003    ,12->9
     2 ,     9 ,  0.2238 ,  0.1122 ,0.1116                 ,2->9
    15 ,    36 ,  0.1373 ,  0.026  ,0.11130000000000001    ,15->36
    14 ,    24 ,  0.0215 ,  0.1319 ,0.1104                 ,24->14
     6 ,    47 ,  0.0539 ,  0.1642 ,0.11030000000000001    ,47->6
     2 ,     6 ,  0.2424 ,  0.1326 ,0.10980000000000001    ,2->6
    29 ,    39 ,  0.206  ,  0.0962 ,0.1098                 ,29->39
    25 ,    47 ,  0.0524 ,  0.1621 ,0.10969999999999999    ,47->25
     6 ,    16 ,  0.0433 ,  0.1516 ,0.10830000000000001    ,16->6
    16 ,    35 ,  0.1384 ,  0.0302 ,0.10819999999999999    ,16->35
    13 ,    37 ,  0.088  ,  0.1959 ,0.1079                 ,37->13
    18 ,    36 ,  0.1256 ,  0.0177 ,0.1079                 ,18->36
    26 ,    27 ,  0.1516 ,  0.259  ,0.1074                 ,27->26
    27 ,    28 ,  0.2846 ,  0.1773 ,0.1073                 ,27->28
    12 ,    23 ,  0.0286 ,  0.1356 ,0.107                  ,23->12
    12 ,    32 ,  0.0602 ,  0.1672 ,0.10699999999999998    ,32->12
     5 ,    16 ,  0.0306 ,  0.136  ,0.10540000000000001    ,16->5
     5 ,    45 ,  0.0785 ,  0.1838 ,0.10529999999999999    ,45->5
    11 ,    41 ,  0.0351 ,  0.1403 ,0.10520000000000002    ,41->11
    12 ,    27 ,  0.0798 ,  0.185  ,0.1052                 ,27->12
    13 ,    44 ,  0.046  ,  0.1511 ,0.10510000000000001    ,44->13
     1 ,    24 ,  0.0212 ,  0.1262 ,0.10500000000000001    ,24->1
    37 ,    49 ,  0.0598 ,  0.1645 ,0.10470000000000002    ,49->37
     0 ,    13 ,  0.237  ,  0.1326 ,0.10439999999999999    ,0->13
    26 ,    33 ,  0.0526 ,  0.1569 ,0.1043                 ,33->26
     3 ,    39 ,  0.1759 ,  0.0719 ,0.104                  ,3->39
     5 ,    15 ,  0.0379 ,  0.1419 ,0.104                  ,15->5
    13 ,    21 ,  0.0216 ,  0.1256 ,0.10399999999999998    ,21->13
    35 ,    36 ,  0.7699 ,  0.8735 ,0.10360000000000003    ,36->35
    12 ,    19 ,  0.0679 ,  0.171  ,0.10310000000000001    ,19->12
    34 ,    37 ,  0.1684 ,  0.0655 ,0.10289999999999999    ,34->37
    11 ,    23 ,  0.0179 ,  0.1207 ,0.1028                 ,23->11
    10 ,    23 ,  0.0194 ,  0.122  ,0.1026                 ,23->10
     0 ,     3 ,  0.2187 ,  0.1165 ,0.1022                 ,0->3
    13 ,    14 ,  0.8239 ,  0.7219 ,0.10199999999999998    ,13->14
     2 ,     8 ,  0.2387 ,  0.1373 ,0.10139999999999999    ,2->8
     3 ,    17 ,  0.0153 ,  0.1166 ,0.1013                 ,17->3
    25 ,    32 ,  0.0541 ,  0.1554 ,0.1013                 ,32->25
    18 ,    25 ,  0.1193 ,  0.0183 ,0.101                  ,18->25
     3 ,    16 ,  0.0204 ,  0.1214 ,0.10099999999999999    ,16->3
    35 ,    39 ,  0.7714 ,  0.8724 ,0.10099999999999998    ,39->35
     2 ,    24 ,  0.0287 ,  0.1296 ,0.10089999999999999    ,24->2
     5 ,    48 ,  0.0622 ,  0.1621 ,0.09989999999999999    ,48->5
    12 ,    36 ,  0.262  ,  0.1624 ,0.09960000000000002    ,12->36
     6 ,    15 ,  0.0441 ,  0.1434 ,0.0993                 ,15->6
    10 ,    24 ,  0.0247 ,  0.1238 ,0.0991                 ,24->10
    13 ,    28 ,  0.1175 ,  0.2164 ,0.09890000000000002    ,28->13
     5 ,    42 ,  0.0197 ,  0.1185 ,0.0988                 ,42->5
     7 ,    18 ,  0.0489 ,  0.147  ,0.09809999999999999    ,18->7
     9 ,    35 ,  0.2657 ,  0.1679 ,0.0978                 ,9->35
     4 ,    14 ,  0.2319 ,  0.1345 ,0.09739999999999999    ,4->14
    13 ,    45 ,  0.1341 ,  0.2304 ,0.0963                 ,45->13
    18 ,    39 ,  0.1125 ,  0.0162 ,0.0963                 ,18->39
     0 ,    21 ,  0.0201 ,  0.1163 ,0.09620000000000001    ,21->0
     9 ,    14 ,  0.4051 ,  0.309  ,0.09610000000000002    ,9->14
     1 ,    21 ,  0.022  ,  0.1179 ,0.09590000000000001    ,21->1
    11 ,    49 ,  0.0754 ,  0.1712 ,0.0958                 ,49->11
    19 ,    35 ,  0.1167 ,  0.0212 ,0.0955                 ,19->35
    12 ,    15 ,  0.0568 ,  0.1517 ,0.0949                 ,15->12
    11 ,    24 ,  0.0185 ,  0.1133 ,0.0948                 ,24->11
    27 ,    29 ,  0.2567 ,  0.1623 ,0.09439999999999998    ,27->29
    14 ,    21 ,  0.0216 ,  0.1158 ,0.0942                 ,21->14
    25 ,    39 ,  0.2511 ,  0.1572 ,0.09389999999999998    ,25->39
    39 ,    46 ,  0.0654 ,  0.1583 ,0.0929                 ,46->39
     6 ,    39 ,  0.1964 ,  0.1036 ,0.0928                 ,6->39
     0 ,    20 ,  0.0171 ,  0.1097 ,0.0926                 ,20->0
    30 ,    35 ,  0.1438 ,  0.0513 ,0.09250000000000001    ,30->35
     1 ,    38 ,  0.1792 ,  0.0868 ,0.0924                 ,1->38
     6 ,    42 ,  0.0162 ,  0.1085 ,0.0923                 ,42->6
    35 ,    41 ,  0.0435 ,  0.1357 ,0.09219999999999999    ,41->35
    17 ,    25 ,  0.1038 ,  0.0119 ,0.09190000000000001    ,17->25
     1 ,    20 ,  0.0182 ,  0.1094 ,0.0912                 ,20->1
    24 ,    35 ,  0.1145 ,  0.0236 ,0.09090000000000001    ,24->35
    30 ,    36 ,  0.1464 ,  0.0559 ,0.0905                 ,30->36
     2 ,    38 ,  0.1472 ,  0.0568 ,0.0904                 ,2->38
    26 ,    37 ,  0.1559 ,  0.246  ,0.09009999999999999    ,37->26
    13 ,    34 ,  0.069  ,  0.1589 ,0.08990000000000001    ,34->13
    16 ,    36 ,  0.1134 ,  0.0235 ,0.08990000000000001    ,16->36
